dep_date,airline,station,time,duration,stops,price,source,destination,dateofbooking
"Thu, 14 Apr",Vistara,BLR - BOM,06:40 - 08:15, 1h 35m ,Non-stop,"₹ 3,960",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,BLR - BOM,14:05 - 15:35, 1h 30m ,Non-stop,"₹ 4,238",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,BLR - BOM,12:20 - 13:50, 1h 30m ,Non-stop,"₹ 4,238",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",Vistara,BLR - BOM,21:40 - 23:25, 1h 45m ,Non-stop,"₹ 3,960",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",AirAsia (India),BLR - BOM,22:40 - 00:20, 1h 40m ,Non-stop,"₹ 4,136",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",Go First,BLR - BOM,16:30 - 18:15, 1h 45m ,Non-stop,"₹ 4,149",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",Vistara,BLR - BOM,19:00 - 20:45, 1h 45m ,Non-stop,"₹ 3,960",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,BLR - BOM,16:25 - 18:00, 1h 35m ,Non-stop,"₹ 4,238",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,BLR - BOM,06:00 - 07:35, 1h 35m ,Non-stop,"₹ 4,238",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,BLR - BOM,21:25 - 23:00, 1h 35m ,Non-stop,"₹ 4,238",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,BLR - BOM,08:20 - 10:00, 1h 40m ,Non-stop,"₹ 4,238",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,BLR - BOM,04:15 - 05:55, 1h 40m ,Non-stop,"₹ 4,238",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",Vistara,BLR - BOM,19:55 - 21:50, 1h 55m ,Non-stop,"₹ 3,960",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",Air India,BLR - BOM,06:45 - 08:35, 1h 50m ,Non-stop,"₹ 4,099",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,BLR - BOM,19:35 - 21:10, 1h 35m ,Non-stop,"₹ 4,442",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",AirAsia (India),BLR - BOM,05:35 - 07:15, 1h 40m ,Non-stop,"₹ 4,338",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,BLR - BOM,17:50 - 19:30, 1h 40m ,Non-stop,"₹ 4,343",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",AirAsia (India),BLR - BOM,19:30 - 21:20, 1h 50m ,Non-stop,"₹ 4,136",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",Go First,BLR - BOM,08:15 - 10:05, 1h 50m ,Non-stop,"₹ 4,149",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",Vistara,BLR - BOM,08:30 - 10:15, 1h 45m ,Non-stop,"₹ 4,275",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",SpiceJet,BLR - BOM,18:10 - 20:10, 2h ,Non-stop,"₹ 3,952",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",SpiceJet,BLR - BOM,06:10 - 08:10, 2h ,Non-stop,"₹ 3,952",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",FlexFlight,BLR - BOM,16:30 - 18:15, 1h 45m ,Non-stop,"₹ 4,314",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",Air India,BLR - BOM,19:10 - 21:05, 1h 55m ,Non-stop,"₹ 4,099",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",Go First,BLR - BOM,05:45 - 07:25, 1h 40m ,Non-stop,"₹ 4,448",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,BLR - BOM,07:00 - 08:50, 1h 50m ,Non-stop,"₹ 4,238",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",AirAsia (India),BLR - BOM,18:45 - 20:40, 1h 55m ,Non-stop,"₹ 4,136",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",Vistara,BLR - BOM,18:25 - 20:15, 1h 50m ,Non-stop,"₹ 4,275",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",FlexFlight,BLR - BOM,08:15 - 10:05, 1h 50m ,Non-stop,"₹ 4,314",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",Go First,BLR - BOM,22:15 - 00:15, 2h ,Non-stop,"₹ 4,149",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",FlexFlight,BLR - BOM,05:45 - 07:25, 1h 40m ,Non-stop,"₹ 4,597",Bengaluru - BLR,Mumbai - BOM,15/03/2022
